Date,Day,Event
28-12-2020,Monday,
29-12-2020,Tuesday,
30-12-2020,Wednesday,
31-12-2020,Thursday,
01-01-2021,Friday,
04-01-2021,Monday,
05-01-2021,Tuesday,
06-01-2021,Wednesday,
07-01-2021,Thursday,
08-01-2021,Friday,
11-01-2021,Monday,
12-01-2021,Tuesday,
13-01-2021,Wednesday,
14-01-2021,Thursday,
15-01-2021,Friday,
18-01-2021,Monday,
19-01-2021,Tuesday,
20-01-2021,Wednesday,
21-01-2021,Thursday,
22-01-2021,Friday,
25-01-2021,Monday,
27-01-2021,Wednesday,
28-01-2021,Thursday,
29-01-2021,Friday,
01-02-2021,Monday,
02-02-2021,Tuesday,
03-02-2021,Wednesday,
04-02-2021,Thursday,
05-02-2021,Friday,
08-02-2021,Monday,
09-02-2021,Tuesday,
10-02-2021,Wednesday,
11-02-2021,Thursday,
12-02-2021,Friday,
15-02-2021,Monday,
16-02-2021,Tuesday,
17-02-2021,Wednesday,
18-02-2021,Thursday,
19-02-2021,Friday,
22-02-2021,Monday,
23-02-2021,Tuesday,
24-02-2021,Wednesday,
25-02-2021,Thursday,
26-02-2021,Friday,
01-03-2021,Monday,
02-03-2021,Tuesday,
03-03-2021,Wednesday,
04-03-2021,Thursday,
05-03-2021,Friday,
08-03-2021,Monday,
09-03-2021,Tuesday,
10-03-2021,Wednesday,
12-03-2021,Friday,
15-03-2021,Monday,
16-03-2021,Tuesday,
17-03-2021,Wednesday,
18-03-2021,Thursday,
19-03-2021,Friday,
22-03-2021,Monday,
23-03-2021,Tuesday,
24-03-2021,Wednesday,
25-03-2021,Thursday,
26-03-2021,Friday,
30-03-2021,Tuesday,
31-03-2021,Wednesday,
01-04-2021,Thursday,
05-04-2021,Monday,
06-04-2021,Tuesday,
07-04-2021,Wednesday,
08-04-2021,Thursday,
09-04-2021,Friday,
12-04-2021,Monday,
13-04-2021,Tuesday,
15-04-2021,Thursday,
16-04-2021,Friday,
19-04-2021,Monday,
20-04-2021,Tuesday,
22-04-2021,Thursday,
23-04-2021,Friday,
26-04-2021,Monday,
27-04-2021,Tuesday,
28-04-2021,Wednesday,
29-04-2021,Thursday,
30-04-2021,Friday,
03-05-2021,Monday,
04-05-2021,Tuesday,
05-05-2021,Wednesday,
06-05-2021,Thursday,
07-05-2021,Friday,
10-05-2021,Monday,
11-05-2021,Tuesday,
12-05-2021,Wednesday,
14-05-2021,Friday,
17-05-2021,Monday,
18-05-2021,Tuesday,
19-05-2021,Wednesday,
20-05-2021,Thursday,
21-05-2021,Friday,
24-05-2021,Monday,
25-05-2021,Tuesday,
26-05-2021,Wednesday,
27-05-2021,Thursday,
28-05-2021,Friday,
31-05-2021,Monday,
01-06-2021,Tuesday,
02-06-2021,Wednesday,
03-06-2021,Thursday,
04-06-2021,Friday,
07-06-2021,Monday,
08-06-2021,Tuesday,
09-06-2021,Wednesday,
10-06-2021,Thursday,
11-06-2021,Friday,
14-06-2021,Monday,
15-06-2021,Tuesday,
16-06-2021,Wednesday,
17-06-2021,Thursday,
18-06-2021,Friday,
21-06-2021,Monday,
22-06-2021,Tuesday,
23-06-2021,Wednesday,
24-06-2021,Thursday,
25-06-2021,Friday,
28-06-2021,Monday,
29-06-2021,Tuesday,
30-06-2021,Wednesday,
01-07-2021,Thursday,
02-07-2021,Friday,
05-07-2021,Monday,
06-07-2021,Tuesday,
07-07-2021,Wednesday,
08-07-2021,Thursday,
09-07-2021,Friday,
12-07-2021,Monday,
13-07-2021,Tuesday,
14-07-2021,Wednesday,
15-07-2021,Thursday,
16-07-2021,Friday,
19-07-2021,Monday,
20-07-2021,Tuesday,
22-07-2021,Thursday,
23-07-2021,Friday,
26-07-2021,Monday,
27-07-2021,Tuesday,
28-07-2021,Wednesday,
29-07-2021,Thursday,
30-07-2021,Friday,
02-08-2021,Monday,
03-08-2021,Tuesday,
04-08-2021,Wednesday,
05-08-2021,Thursday,
06-08-2021,Friday,
09-08-2021,Monday,
10-08-2021,Tuesday,
11-08-2021,Wednesday,
12-08-2021,Thursday,
13-08-2021,Friday,
16-08-2021,Monday,
17-08-2021,Tuesday,
18-08-2021,Wednesday,
20-08-2021,Friday,
23-08-2021,Monday,
24-08-2021,Tuesday,
25-08-2021,Wednesday,
26-08-2021,Thursday,
27-08-2021,Friday,
30-08-2021,Monday,
31-08-2021,Tuesday,
01-09-2021,Wednesday,
02-09-2021,Thursday,
03-09-2021,Friday,
06-09-2021,Monday,
07-09-2021,Tuesday,
08-09-2021,Wednesday,
09-09-2021,Thursday,
13-09-2021,Monday,
14-09-2021,Tuesday,
15-09-2021,Wednesday,
16-09-2021,Thursday,
17-09-2021,Friday,
20-09-2021,Monday,
21-09-2021,Tuesday,
22-09-2021,Wednesday,
23-09-2021,Thursday,
24-09-2021,Friday,
27-09-2021,Monday,
28-09-2021,Tuesday,
29-09-2021,Wednesday,
30-09-2021,Thursday,
01-10-2021,Friday,
04-10-2021,Monday,
05-10-2021,Tuesday,
06-10-2021,Wednesday,
07-10-2021,Thursday,
08-10-2021,Friday,
11-10-2021,Monday,
12-10-2021,Tuesday,
13-10-2021,Wednesday,
14-10-2021,Thursday,
18-10-2021,Monday,
19-10-2021,Tuesday,
20-10-2021,Wednesday,
21-10-2021,Thursday,
22-10-2021,Friday,
25-10-2021,Monday,
26-10-2021,Tuesday,
27-10-2021,Wednesday,
28-10-2021,Thursday,
29-10-2021,Friday,
01-11-2021,Monday,
02-11-2021,Tuesday,
03-11-2021,Wednesday,
04-11-2021,Thursday,
08-11-2021,Monday,
09-11-2021,Tuesday,
10-11-2021,Wednesday,
11-11-2021,Thursday,
12-11-2021,Friday,
15-11-2021,Monday,
16-11-2021,Tuesday,
17-11-2021,Wednesday,
18-11-2021,Thursday,
22-11-2021,Monday,
23-11-2021,Tuesday,
24-11-2021,Wednesday,
25-11-2021,Thursday,
26-11-2021,Friday,
29-11-2021,Monday,
30-11-2021,Tuesday,
01-12-2021,Wednesday,
02-12-2021,Thursday,
03-12-2021,Friday,
06-12-2021,Monday,
07-12-2021,Tuesday,
08-12-2021,Wednesday,
09-12-2021,Thursday,
10-12-2021,Friday,
13-12-2021,Monday,
14-12-2021,Tuesday,
15-12-2021,Wednesday,
16-12-2021,Thursday,
17-12-2021,Friday,
20-12-2021,Monday,
21-12-2021,Tuesday,
22-12-2021,Wednesday,
23-12-2021,Thursday,
24-12-2021,Friday,
27-12-2021,Monday,
28-12-2021,Tuesday,
29-12-2021,Wednesday,
30-12-2021,Thursday,
31-12-2021,Friday,
